approx_playtime,song_id,artist,song_name
"2021-11-23 12:23","song-188559","TobyMac","Promised Land"
"2021-11-23 12:27","song-185392","Casting Crowns","Glorious Day (Living He Loved Me)"
"2021-11-23 12:31","song-188530","Jeremy Camp","When You Speak"
"2021-11-23 12:34","song-187967","Danny Gokey","Love God, Love People"
"2021-11-23 12:37","song-184715","Aaron Shust","My Hope Is In You"
"2021-11-23 12:40","song-188563","Sanctus Real","My God Is Still The Same"
"2021-11-23 12:45","song-187643","Cory Asbury","The Father's House"
"2021-11-23 12:49","song-188538","Chris Tomlin","Thank You Lord (feat. Thomas Rhett & Florida Georgia Line)"
"2021-11-23 12:52","song-186694","Kari Jobe","I Am Not Alone"
"2021-11-23 12:56","song-188495","Phil Wickham","House Of The Lord"
"2021-11-23 13:00","song-188186","Jordan St. Cyr","Fires"
"2021-11-23 13:04","song-184115","Big Daddy Weave","Alive"
"2021-11-23 13:07","song-188539","Crowder","In The house"
"2021-11-23 13:10","song-187551","Tauren Wells","Hills and Valleys"
"2021-11-23 13:17","song-188568","Brandon Lake","Too Good To Not Believe (feat. Jenn Johnson)"
"2021-11-23 13:21","song-188555","for KING & COUNTRY","Relate"
"2021-11-23 13:24","song-186532","Tenth Avenue North","Control (Somehow You Want Me)"
"2021-11-23 13:28","song-188507","Anne Wilson","My Jesus"
"2021-11-23 13:32","song-188570","Jon Reddick","God, Turn It Around (feat. Matt Maher)"
"2021-11-23 13:36","song-188025","Andrew Ripp","Jericho"
"2021-11-23 13:39","song-188557","We Are Messengers","Come What May"
"2021-11-23 13:46","song-184467","Jeremy Camp","My God"
"2021-11-23 13:49","song-185465","Mat Kearney","Air I Breathe"
"2021-11-23 13:53","song-188488","Maverick City Music","Promises (feat. Joe L. Barnes & Naomi Raine)"
"2021-11-23 13:57","song-188445","We The Kingdom","Child of Love (feat. Bear Rhinehart)"
"2021-11-23 14:02","song-183876","Lincoln Brewster","There Is Power"
"2021-11-23 14:05","song-188514","Blanca","Even At My Worst"
"2021-11-23 14:08","song-187563","Zach Williams","There Was Jesus"
"2021-11-23 14:12","song-188571","MercyMe","On Our Way (feat. Sam Wesley)"
"2021-11-23 14:19","song-187405","Danny Gokey","Rise"
"2021-11-23 14:23","song-188526","Ryan Ellis","Heart of the Father"
"2021-11-23 14:27","song-185230","Matthew West","The God Who Stays"
"2021-11-23 14:31","song-188505","Tasha Layton","Look What You've Done"
"2021-11-23 14:34","song-187210","Hillsong United","Another In The Fire"
"2021-11-23 14:39","song-187138","Colton Dixon","More Of You"
"2021-11-23 14:43","song-188561","Jordan St. Cyr","Weary Traveler"
"2021-11-23 14:48","song-188579","Jordan Feliz","Jesus Is Coming Back (feat. Mandisa & Jonathan Traylor)"
"2021-11-23 14:52","song-188530","Jeremy Camp","When You Speak"
"2021-11-23 14:55","song-187308","Lauren Daigle","First"
"2021-11-23 14:58","song-188503","Tauren Wells","Until Grace (feat. Rascal Flatts)"
"2021-11-23 15:02","song-187788","Elevation Worship","RATTLE!"
"2021-11-23 15:06","song-184941","Matt Redman","10,000 Reasons"
"2021-11-23 15:10","song-188538","Chris Tomlin","Thank You Lord (feat. Thomas Rhett & Florida Georgia Line)"
"2021-11-23 15:13","song-185479","The Afters","Every Good Thing"
"2021-11-23 15:20","song-188569","Riley Clemmons","For The Good"
"2021-11-23 15:23","song-188539","Crowder","In The house"
"2021-11-23 15:26","song-187573","Micah Tyler","Amen"
"2021-11-23 15:29","song-188507","Anne Wilson","My Jesus"
"2021-11-23 15:33","song-188560","Danny Gokey","Stand In Faith"
"2021-11-23 15:36","song-188489","Dante Bowe","Joyful"
"2021-11-23 15:38","song-188555","for KING & COUNTRY","Relate"
"2021-11-23 15:45","song-185405","Casting Crowns","God Of All My Days"
"2021-11-23 15:49","song-183813","Steven Curtis Chapman","Love Take Me Over"
"2021-11-23 15:52","song-188559","TobyMac","Promised Land"
"2021-11-23 15:55","song-188003","Josh Baldwin","Evidence"
"2021-11-23 15:59","song-185201","Matthew West","The Motions"
"2021-11-23 16:03","song-188474","Rhett Walker","Gospel Song"
"2021-11-23 16:06","song-183314","Passion","Our God (feat. Chris Tomlin)"
"2021-11-23 16:11","song-188557","We Are Messengers","Come What May"
"2021-11-23 16:14","song-184470","Jeremy Camp","He Knows"
"2021-11-23 16:20","song-188580","Zach Williams","Heaven Help Me"
"2021-11-23 16:23","song-188514","Blanca","Even At My Worst"
"2021-11-23 16:27","song-187632","Austin French","Born Again"
"2021-11-23 16:32","song-188495","Phil Wickham","House Of The Lord"
"2021-11-23 16:36","song-188563","Sanctus Real","My God Is Still The Same"
"2021-11-23 16:39","song-188540","NEEDTOBREATHE","I Am Yours"
"2021-11-23 16:48","song-188505","Tasha Layton","Look What You've Done"
"2021-11-23 16:52","song-184172","MercyMe","Greater"
"2021-11-23 16:55","song-188570","Jon Reddick","God, Turn It Around (feat. Matt Maher)"
"2021-11-23 17:00","song-188333","Crowder","Good God Almighty"
"2021-11-23 17:03","song-187410","Danny Gokey","Haven't Seen It Yet"
"2021-11-23 17:07","song-188530","Jeremy Camp","When You Speak"
"2021-11-23 17:10","song-188511","CeCe Winans","Believe For It"
"2021-11-23 17:14","song-188536","Mike Donehey","All Together"
"2021-11-23 17:21","song-184523","Sanctus Real","Lead Me"
"2021-11-23 17:25","song-188488","Maverick City Music","Promises (feat. Joe L. Barnes & Naomi Raine)"
"2021-11-23 17:29","song-187512","Jordan Feliz","Changed"
"2021-11-23 17:34","song-188538","Chris Tomlin","Thank You Lord (feat. Thomas Rhett & Florida Georgia Line)"
"2021-11-23 17:37","song-187972","We The Kingdom","God So Loved"
"2021-11-23 17:41","song-188526","Ryan Ellis","Heart of the Father"
"2021-11-23 17:49","song-187755","Elevation Worship","Graves Into Gardens"
"2021-11-23 17:53","song-188539","Crowder","In The house"
"2021-11-23 17:56","song-187728","Cochren & Co.","Church (Take Me Back)"
"2021-11-23 17:59","song-188522","Matthew West","What If"
"2021-11-23 18:03","song-186937","Ryan Stevenson","Amadeo (Still My God)"
"2021-11-23 18:07","song-184458","Jeremy Camp","Overcome"
"2021-11-23 18:11","song-188555","for KING & COUNTRY","Relate"
"2021-11-23 18:14","song-184202","Kutless","Everything I Need"
"2021-11-23 18:20","song-188562","Mac Powell","River of Life"
"2021-11-23 18:23","song-188557","We Are Messengers","Come What May"
"2021-11-23 18:26","song-186581","Francesca Battistelli","He Knows My Name"
"2021-11-23 18:31","song-188503","Tauren Wells","Until Grace (feat. Rascal Flatts)"
"2021-11-23 18:34","song-188561","Jordan St. Cyr","Weary Traveler"
"2021-11-23 18:38","song-186610","Matt Maher","Alive & Breathing"
"2021-11-23 18:46","song-188514","Blanca","Even At My Worst"
"2021-11-23 18:50","song-183312","Chris Tomlin","I Will Rise"
